label,pca_x,pca_y,tsne_x,tsne_y,lda_x,lda_y,umap_x,umap_y
B6,2006.2146393796813,-2510.7194765687564,15.314322,-26.424934,5.447686559554649,-0.6962194054744102,9.694137,-1.6942376
B6,1575.5316304365042,-4683.375524857836,27.31654,-29.168497,5.453649123282133,-0.7307342976990536,10.43299,-1.9203948
B6,-2002.688482861214,889.22541941839,-20.28721,-2.3630438,5.443717482105311,-0.6732440065256415,7.039494,-4.095826
B6,-655.0947797239005,-1693.4396790069156,2.025118,-29.159382,5.49205485944688,-0.9530497152139501,7.293412,-2.079523
B6,2145.7582386435047,-435.85382323200605,20.354916,-11.455578,5.353912808565669,-0.15340073605385873,10.443676,-3.0521948
B6,6236.18421898381,-575.0079529856058,48.52119,-3.0988412,5.407737149507555,-0.464968278402921,12.940034,-2.91578
B6,-690.1217461710554,-1255.821045110085,4.752183,-15.476327,5.4285600551067965,-0.5855037351982952,8.994349,-3.0808792
B6,-1664.3900479426727,-164.1778144789134,-15.756003,-14.439063,5.528666899534334,-1.1649821448697872,6.9859037,-3.001366
B6,-2251.6098671822056,-399.5041276325928,-25.354935,-2.9581292,-0.14172349282249086,-1.8443917263099845,6.5351744,-4.193649
B6,-1653.0654792347416,-2468.715677199028,-9.526423,-30.436617,5.507043637680533,-1.039813746419159,7.944287,-2.9474583
B6,849.0995452661775,-910.7844732338648,2.3659294,-2.6143785,5.4646458659786585,-0.794390034784697,9.080704,-4.0862193
B6,1674.263656922417,203.55642171229653,16.307926,-2.7049255,5.503641577226812,-1.0201205816549423,10.347945,-3.781528
B6,6659.758069689515,1582.5727563658334,48.74092,10.079535,5.124970677773146,1.1718535222050375,13.733514,-4.4279604
B6,4009.872549015664,393.68176576960997,28.850481,-0.8021979,5.474674925791363,-0.8524442434053797,11.443861,-3.7136788
B6,-2240.3728859464345,1478.8252019174945,-24.818483,12.205987,5.50297174729897,-1.0162432046026897,6.385945,-5.1155586
B6,-3996.570696473015,770.3784580636872,-30.242353,2.5910983,5.412181532974908,-0.49069503343643006,6.0786843,-4.7066007
B6,2864.692227279971,-618.9820709978669,28.88457,2.16877,5.365463276980055,-0.2202617694428315,11.399282,-3.9809377
B6,1851.8000768636764,-1111.925856601974,12.846346,-13.190402,5.364770600430605,-0.21625214245297442,9.793464,-3.029066
B6,330.1220388090309,226.52167621014607,2.9454086,-8.440168,-0.14457687391957308,-1.8278746464861038,8.426216,-5.0921707
B6,-622.7685920782461,-991.9872252269531,-17.251234,-11.223338,5.434621765134505,-0.6205925456270301,7.3837676,-3.2823515
B6,-1679.298513986465,-1234.9612533595584,-11.492287,-6.1888742,5.395841196467196,-0.39610737294997606,7.768814,-3.3631546
B6,-3638.880856426463,49.93779335845886,-31.252148,4.3752713,5.520990634447446,-1.1205473221539135,5.9358125,-4.562501
B6,2465.6282462141767,-12.73996045824649,21.673725,-11.822026,5.5354613494030165,-1.2043124926297368,10.467072,-3.344559
